ID1,ID2,Distance
11279_2007,11289_2008,0.310073
11442_2012,11446_2012,0.139399
11279_2007,11290_2008,0.338362
11381_2010,11393_2010,0.304992
11200_2006,11204_2006,0.0829536
11381_2010,11394_2010,0.309987
11279_2007,11291_2008,0.395968
11165_2005,11170_2005,0.137082
11442_2012,11447_2012,0.172374
11249_2007,11252_2007,0.0681461
11088_2003,11094_2003,0.159474
11249_2007,11253_2007,0.103759
11200_2006,11205_2006,0.0848172
11279_2007,11292_2008,0.40447
11200_2006,11206_2006,0.10765
11183_2005,11200_2006,0.433009
11165_2005,11171_2005,0.161545
11200_2006,11207_2006,0.145187
11249_2007,11254_2007,0.137065
11381_2010,11395_2010,0.322875
11279_2007,11293_2008,0.413072
11165_2005,11172_2005,0.206366
11381_2010,11396_2010,0.354272
11088_2003,11095_2003,0.182562
11165_2005,11173_2005,0.242424
11279_2007,11294_2008,0.464638
11442_2012,11448_2012,0.206502
11249_2007,11255_2007,0.14311
11433_2011,11435_2011,0.0169006
11108_2003,11113_2003,0.204306
11293_2008,11298_2008,0.131746
11307_2008,11311_2008,0.0885943
11293_2008,11299_2008,0.158309
11320_2009,11322_2009,0.0376938
11433_2011,11436_2011,0.0537129
11147_2004,11148_2004,0.0359274
11346_2009,11351_2009,0.103902
11147_2004,11149_2004,0.0773911
11320_2009,11323_2009,0.0482818
11128_2004,11132_2004,0.0924064
11346_2009,11352_2009,0.143183
11433_2011,11437_2011,0.0736719
11320_2009,11324_2009,0.0554579
11128_2004,11133_2004,0.10766
11293_2008,11300_2008,0.20246
11307_2008,11312_2008,0.0904775
11108_2003,11114_2003,0.224365
11346_2009,11353_2009,0.159494
11433_2011,11438_2011,0.0792145
11147_2004,11150_2004,0.115604
11293_2008,11301_2008,0.224832
11108_2003,11115_2003,0.258997
11346_2009,11354_2009,0.157429
11128_2004,11134_2004,0.159573
11320_2009,11325_2009,0.0590755
11147_2004,11151_2004,0.117565
11320_2009,11326_2009,0.0980689
11147_2004,11152_2004,0.145539
11392_2010,11409_2011,0.367866
11067_2002,11080_2003,0.375992
11000_2001,11010_2001,0.206271
11023_2001,11035_2001,0.36284
11423_2011,11438_2011,0.298513
11067_2002,11081_2003,0.381496
11370_2010,11381_2010,0.233691
11000_2001,11011_2001,0.226309
11370_2010,11382_2010,0.268999
11067_2002,11082_2003,0.389867
11045_2002,11066_2002,0.498536
11370_2010,11383_2010,0.31299
11023_2001,11036_2001,0.381898
11370_2010,11384_2010,0.310455
11423_2011,11439_2011,0.328256
11370_2010,11385_2010,0.313139
11023_2001,11037_2001,0.413189
11370_2010,11386_2010,0.37131
11423_2011,11440_2012,0.354432
11023_2001,11038_2001,0.427977
11370_2010,11387_2010,0.374059
11413_2011,11432_2011,0.573789
11370_2010,11388_2010,0.405513
11023_2001,11039_2001,0.443011
11067_2002,11083_2003,0.392647
11045_2002,11067_2002,0.51878
11023_2001,11040_2002,0.492709
11392_2010,11410_2011,0.367866
11045_2002,11068_2002,0.522203
11067_2002,11084_2003,0.467156
11413_2011,11433_2011,0.626514
11423_2011,11441_2012,0.365399
11108_2003,11116_2003,0.263699
11320_2009,11327_2009,0.141044
11346_2009,11355_2009,0.176212
11108_2003,11117_2003,0.280548
11433_2011,11439_2011,0.109838
11108_2003,11118_2003,0.307718
11165_2005,11174_2005,0.242424
11381_2010,11397_2010,0.384244
11442_2012,11449_2012,0.208628
11128_2004,11135_2004,0.206387
11433_2011,11440_2012,0.145502
11108_2003,11119_2003,0.315304
11147_2004,11153_2004,0.187514
11433_2011,11441_2012,0.156068
11293_2008,11302_2008,0.261776
11433_2011,11442_2012,0.198447
11108_2003,11120_2004,0.320468
11307_2008,11313_2008,0.0961276
11293_2008,11303_2008,0.2641
11346_2009,11356_2009,0.2264
11147_2004,11154_2004,0.200612
11346_2009,11357_2009,0.230907
11320_2009,11328_2009,0.161456
11293_2008,11304_2008,0.2641
11147_2004,11155_2004,0.207234
11346_2009,11358_2009,0.275359
11307_2008,11314_2008,0.107567
11128_2004,11136_2004,0.215187
11108_2003,11121_2004,0.336081
11200_2006,11208_2006,0.149289
11249_2007,11256_2007,0.153255
11381_2010,11398_2010,0.424312
11442_2012,11450_2012,0.217551
11183_2005,11201_2006,0.444988
11088_2003,11096_2003,0.184702
11442_2012,11451_2012,0.2471
11183_2005,11202_2006,0.472716
11442_2012,11452_2012,0.261054
11200_2006,11209_2006,0.161704
11279_2007,11295_2008,0.473892
11165_2005,11175_2005,0.261079
11381_2010,11399_2010,0.457589
11442_2012,11453_2012,0.285136
11088_2003,11097_2003,0.212956
11200_2006,11210_2006,0.178417
11183_2005,11203_2006,0.521225
11165_2005,11176_2005,0.285022
11381_2010,11400_2011,0.479547
11279_2007,11296_2008,0.493223
11249_2007,11257_2007,0.171937
11165_2005,11177_2005,0.302328
11200_2006,11211_2006,0.215199
11381_2010,11401_2011,0.479547
11279_2007,11297_2008,0.506332
11249_2007,11258_2007,0.217441
11381_2010,11402_2011,0.48267
11249_2007,11259_2007,0.258713
11381_2010,11403_2011,0.518691
11183_2005,11204_2006,0.527966
11381_2010,11404_2011,0.535853
11200_2006,11212_2006,0.240022
11293_2008,11305_2008,0.295839
11128_2004,11137_2004,0.240096
11147_2004,11156_2004,0.227285
11307_2008,11315_2008,0.141055
